"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"sau00480",8,"Down",0.000105636100185943,0.00613089662310738,0.000210946276476219,0.000398586317682212,"Glutathione metabolism"
"sau00680",18,"Down",0.000195253082330878,0.00613089662310738,0.000396197350069443,0.000616935873679561,"Methane metabolism"
"sau04122",10,"Up",0.000214093602005815,0.00613089662310738,0.000165944807151078,0.000361814127207282,"Sulfur relay system"
"sau00010",37,"Down",0.000325659692385787,0.00613089662310738,0.000208848673869346,0.000398586317682212,"Glycolysis / Gluconeogenesis"
"sau03010",57,"Up",0.000443137492649296,0.00613089662310738,0.000406220890017567,0.000623634887491757,"Ribosome"
"sau00030",19,"Down",0.000498941180012683,0.00613089662310738,0.000127801916736845,0.000323962998239909,"Pentose phosphate pathway"
"sau00970",24,"Down",0.000626875578117439,0.00613089662310738,1.38855753980222e-05,0.000131772088417811,"Aminoacyl-tRNA biosynthesis"
"sau00790",21,"Up",0.000642200935273189,0.00613089662310738,0.000165969783122606,0.000361814127207282,"Folate biosynthesis"
"sau00330",10,"Down",0.000653267088670936,0.00613089662310738,0.00021192658546044,0.000398586317682212,"Arginine and proline metabolism"
"sau00920",8,"Down",0.000661881941191374,0.00613089662310738,3.96683515289622e-05,0.000203780373371136,"Sulfur metabolism"
"sau00643",3,"Down",0.000698147863890542,0.00613089662310738,0.00234393336605211,0.0027471907193514,"Styrene degradation"
"sau00362",8,"Down",0.000857738699937196,0.00613089662310738,0.000553951968591918,0.000793887941541419,"Benzoate degradation"
"sau00543",3,"Down",0.000915572670735212,0.00613089662310738,0.00466774073034507,0.00535561831165908,"Exopolysaccharide biosynthesis"
"sau00630",22,"Down",0.000940694934644628,0.00613089662310738,0.000219277776498997,0.000398586317682212,"Glyoxylate and dicarboxylate metabolism"
"sau00240",27,"Up",0.000951687941697562,0.00613089662310738,0.000449194199368349,0.000680030107377084,"Pyrimidine metabolism"
"sau00052",18,"Down",0.0009853586348797,0.00613089662310738,6.43117880173036e-06,0.000127946735402499,"Galactose metabolism"
"sau00740",10,"Down",0.00102613710121488,0.00613089662310738,0.000194230454878587,0.000394935549028831,"Riboflavin metabolism"
"sau00400",17,"Up",0.00105828334869511,0.00613089662310738,6.56544519704783e-06,0.000127946735402499,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"sau03070",12,"Up",0.00106868840219303,0.00613089662310738,9.31953602655074e-06,0.000127946735402499,"Bacterial secretion system"
"sau00460",3,"Down",0.00112716989840388,0.00614307594630116,0.00131282763596101,0.00159268896725609,"Cyanoamino acid metabolism"
"sau00230",45,"Up",0.00119974497573861,0.00622724773121467,1.79055151281421e-05,0.000131772088417811,"Purine metabolism"
"sau00310",9,"Down",0.00147223158767851,0.00672500203992078,0.000376575238859433,0.000594879725154756,"Lysine degradation"
"sau00620",40,"Down",0.00153054854952232,0.00672500203992078,3.25359102635184e-05,0.000186653379932816,"Pyruvate metabolism"
"sau00906",6,"Down",0.00158923069380877,0.00672500203992078,4.44976122315797e-05,0.000203780373371136,"Carotenoid biosynthesis"
"sau00564",19,"Down",0.00161285526955003,0.00672500203992078,0.000528859755622429,0.000768609511504596,"Glycerophospholipid metabolism"
"sau03060",15,"Up",0.00162613362579882,0.00672500203992078,5.61834286097617e-05,0.000204693000338622,"Protein export"
"sau01200",79,"Down",0.00168748180796967,0.00672500203992078,5.02490762923206e-05,0.000204693000338622,"Carbon metabolism"
"sau00785",18,"Down",0.00172752345979616,0.00672500203992078,0.000953608669883769,0.00120864354671315,"Lipoic acid metabolism"
"sau00020",21,"Down",0.00186193136115509,0.00699829373675534,0.0005996914860562,0.000827422430128175,"Citrate cycle (TCA cycle)"
"sau00040",9,"Down",0.00193299741548147,0.007023223942916,0.000300513106898276,0.000488894457491225,"Pentose and glucuronate interconversions"
"sau00280",12,"Down",0.00215825555864816,0.00737547237369671,0.00102759482930322,0.00128744639533392,"Valine, leucine and isoleucine degradation"
"sau01220",5,"Down",0.00218905270127618,0.00737547237369671,0.000951148963932892,0.00120864354671315,"Degradation of aromatic compounds"
"sau00622",3,"Down",0.00223294117735772,0.00737547237369671,0.00911515296590325,0.0101727834110351,"Xylene degradation"
"sau05150",31,"Up",0.00239654934584397,0.00768305525579391,0.000176657785713196,0.000377562718485066,"Staphylococcus aureus infection"
"sau01120",132,"Down",0.00286953124852099,0.00864358289620434,2.15343068612202e-05,0.000146702465492062,"Microbial metabolism in diverse environments"
"sau02020",66,"Up",0.0029284901096145,0.00864358289620434,1.57497367435132e-05,0.000131772088417811,"Two-component system"
"sau00250",20,"Up",0.00293406024917028,0.00864358289620434,0.000287960922295122,0.000485030513797482,"Alanine, aspartate and glutamate metabolism"
"sau00380",9,"Down",0.00340020818561061,0.0097532287429357,0.000657053578687961,0.000895235500962346,"Tryptophan metabolism"
"sau00999",2,"Up",0.00360184851970004,0.0100667048371104,0.121763033479041,0.130119320090348,"Biosynthesis of various plant secondary metabolites"
"sau00640",23,"Down",0.00375098305751407,0.0102214288317258,5.63375230289786e-05,0.000204693000338622,"Propanoate metabolism"
"sau02060",24,"Up",0.00400473159046253,0.0105527636115216,0.000927183345255992,0.00120864354671315,"Phosphotransferase system (PTS)"
"sau00130",9,"Down",0.00406620249251293,0.0105527636115216,0.000291640446220332,0.000485030513797482,"Ubiquinone and other terpenoid-quinone biosynthesis"
"sau01250",21,"Down",0.00541892484612068,0.0137363443773757,8.53271724223972e-05,0.000258351716501147,"Biosynthesis of nucleotide sugars"
"sau00520",28,"Down",0.00643136047689781,0.0159322339086787,8.19818933342541e-05,0.000255315039240963,"Amino sugar and nucleotide sugar metabolism"
"sau00071",10,"Down",0.00684115053283498,0.0165707868462003,0.00013915531797759,0.000337065103545717,"Fatty acid degradation"
"sau03018",14,"Up",0.00761859809444382,0.0180527650498777,0.000194325823481462,0.000394935549028831,"RNA degradation"
"sau03020",5,"Up",0.00844293446606624,0.0195804224851323,0.000270127630263977,0.000474901801593121,"RNA polymerase"
"sau00562",5,"Up",0.0091387269836398,0.0207525258586821,0.000121883880951211,0.000323962998239909,"Inositol phosphate metabolism"
"sau00910",12,"Up",0.00976483921547329,0.021575702877252,0.00149425018683175,0.00178981615785342,"Nitrogen metabolism"
"sau00760",7,"Down",0.00989711141158348,0.021575702877252,0.000798649825195859,0.00106161988958962,"Nicotinate and nicotinamide metabolism"
"sau01501",10,"Up",0.0104804936134524,0.0223994863503198,0.000126585365442201,0.000323962998239909,"beta-Lactam resistance"
"sau00340",15,"Up",0.0111260648311685,0.0230707663207152,0.000195656143555568,0.000394935549028831,"Histidine metabolism"
"sau01210",30,"Down",0.0112178955504395,0.0230707663207152,0.00123889891016626,0.00153454524100139,"2-Oxocarboxylic acid metabolism"
"sau00650",18,"Down",0.0151441496161569,0.0301317224005286,0.000159712812123616,0.000361814127207282,"Butanoate metabolism"
"sau00430",6,"Down",0.0152040801103585,0.0301317224005286,0.00234027107744833,0.0027471907193514,"Taurine and hypotaurine metabolism"
"sau00670",11,"Down",0.015987705366885,0.0311189265176869,0.000219405312485622,0.000398586317682212,"One carbon pool by folate"
"sau01110",264,"Down",0.0192343837862473,0.0361237393525159,9.9367654053643e-06,0.000127946735402499,"Biosynthesis of secondary metabolites"
"sau02040",2,"Down",0.0194248238726701,0.0361237393525159,0.0726181954929069,0.0791538330872686,"Flagellar assembly"
"sau01502",6,"Down",0.0197895549650211,0.0361237393525159,0.000293688201014989,0.000485030513797482,"Vancomycin resistance"
"sau03410",10,"Up",0.0198846271665225,0.0361237393525159,5.53500034329298e-05,0.000204693000338622,"Base excision repair"
"sau00730",11,"Down",0.0258577240387251,0.0455521139391225,3.64885983791362e-05,0.000198862861166292,"Thiamine metabolism"
"sau00541",12,"Down",0.0259103767360146,0.0455521139391225,0.00131506428489035,0.00159268896725609,"O-Antigen nucleotide sugar biosynthesis"
"sau00053",5,"Up",0.026647139470522,0.046103780988681,0.000281679455476787,0.000485030513797482,"Ascorbate and aldarate metabolism"
"sau00051",16,"Down",0.0274734894455554,0.0467907867119615,8.81783673342518e-05,0.000259768703768472,"Fructose and mannose metabolism"
"sau00300",12,"Up",0.0289493225013283,0.0485457869637659,9.51573215323718e-05,0.000270804701842445,"Lysine biosynthesis"
"sau01230",99,"Down",0.0354207556473651,0.0584979146297393,6.30600710515544e-06,0.000127946735402499,"Biosynthesis of amino acids"
"sau02024",39,"Up",0.0384079308057235,0.0624845441466248,6.70238745743942e-05,0.000221381888745726,"Quorum sensing"
"sau03420",7,"Down",0.0416241681411507,0.0667210930497857,0.000560819922006324,0.000793887941541419,"Nucleotide excision repair"
"sau00660",9,"Down",0.0478266620829374,0.0755522632904373,0.000754164577323262,0.00101486344355846,"C5-Branched dibasic acid metabolism"
"sau01212",18,"Down",0.0540494033386679,0.08416264234164,5.25569636877176e-05,0.000204693000338622,"Fatty acid metabolism"
"sau00997",10,"Up",0.0550322216891335,0.0844860868185289,0.00732079218241963,0.00831214945712229,"Biosynthesis of various other secondary metabolites"
"sau01240",110,"Up",0.0568472687600926,0.0860604485395847,4.55883717262895e-05,0.000203780373371136,"Biosynthesis of cofactors"
"sau01232",32,"Up",0.0606378584866405,0.090541459932107,7.40867890733408e-05,0.000237513529676298,"Nucleotide metabolism"
"sau00500",15,"Down",0.0648332621523898,0.0954976429001417,4.11544423937678e-05,0.000203780373371136,"Starch and sucrose metabolism"
"sau03430",17,"Down",0.0687459775052913,0.0999108206410234,2.5314201207415e-05,0.000162308701859308,"Mismatch repair"
"sau01100",514,"Down",0.0781019273376187,0.112014606313164,2.70609644569782e-06,0.000127946735402499,"Metabolic pathways"
"sau00998",3,"Down",0.0838168209149385,0.118649785451017,0.196117735793969,0.207542069917889,"Biosynthesis of various antibiotics"
"sau00270",25,"Down",0.0852636833708518,0.119150531890037,9.68934254298656e-05,0.000270804701842445,"Cysteine and methionine metabolism"
"sau00625",4,"Up",0.102373428010904,0.1412494133315,0.000945196261188037,0.00120864354671315,"Chloroalkane and chloroalkene degradation"
"sau00220",18,"Up",0.133299905363864,0.181621121058264,1.81337736354786e-05,0.000131772088417811,"Arginine biosynthesis"
"sau00521",4,"Down",0.176782392154264,0.237892354874257,0.000355854564678261,0.0005704139345578,"Streptomycin biosynthesis"
"sau00261",5,"Up",0.224551102716986,0.298488660928677,0.00914617224111412,0.0101727834110351,"Monobactam biosynthesis"
"sau00350",4,"Up",0.235398618209395,0.309137944395471,0.385068980226785,0.403581911968457,"Tyrosine metabolism"
"sau02010",78,"Up",0.311339876393455,0.404000553891507,0.000133818116358913,0.000331503970070945,"ABC transporters"
"sau00626",2,"Up",0.326571280319151,0.418779641821029,1,1,"Naphthalene degradation"
"sau05100",2,"Down",0.337291214366233,0.427497004254876,0.471209189348653,0.484545298481162,"Bacterial invasion of epithelial cells"
"sau00780",11,"Down",0.348651229307774,0.436815907983303,0.000471898125039306,0.000704615008620334,"Biotin metabolism"
"sau03030",16,"Up",0.376712659767819,0.466609999030593,3.0493791386518e-05,0.000184656847840582,"DNA replication"
"sau00542",1,"Down",0.399474996231503,0.489244658305998,0.399474996231503,0.414693091326036,"O-Antigen repeat unit biosynthesis"
"sau00360",3,"Down",0.425031515456181,0.514138218174077,0.0740134592699463,0.079875911489348,"Phenylalanine metabolism"
"sau00260",30,"Up",0.429234659209551,0.514138218174077,1.13903974485978e-05,0.000127946735402499,"Glycine, serine and threonine metabolism"
"sau00770",16,"Down",0.450826516511968,0.534131416302223,6.19800198563457e-05,0.000211119442635678,"Pantothenate and CoA biosynthesis"
"sau00401",3,"Down",0.467923651748287,0.548426645597455,0.0557938035170076,0.0614295412459983,"Novobiocin biosynthesis"
"sau00552",22,"Up",0.486780725879932,0.564458501286304,4.67386177456734e-05,0.000203780373371136,"Teichoic acid biosynthesis"
"sau00750",4,"Down",0.639140893860809,0.733330078219244,0.00357007096915669,0.00413976314508595,"Vitamin B6 metabolism"
"sau00190",23,"Up",0.649202126790655,0.737114914793556,4.00249520334254e-06,0.000127946735402499,"Oxidative phosphorylation"
"sau00550",26,"Up",0.662606675419617,0.744578635265343,1.0034412518593e-05,0.000127946735402499,"Peptidoglycan biosynthesis"
"sau00561",16,"Down",0.713642259825545,0.793744962459025,0.000574345766497435,0.000802611391643852,"Glycerolipid metabolism"
"sau00860",16,"Up",0.772986047407725,0.831852082155338,0.000148992632266933,0.000353047759067298,"Porphyrin metabolism"
"sau00061",14,"Down",0.775814971891884,0.831852082155338,0.000212683343367211,0.000398586317682212,"Fatty acid biosynthesis"
"sau00592",1,"Down",0.778430388805913,0.831852082155338,0.778430388805913,0.785638077591153,"alpha-Linolenic acid metabolism"
"sau00907",1,"Down",0.778430388805913,0.831852082155338,0.778430388805913,0.785638077591153,"Pinene, camphor and geraniol degradation"
"sau01503",12,"Up",0.786976662961663,0.832819963716711,0.000159559275529955,0.000361814127207282,"Cationic antimicrobial peptide (CAMP) resistance"
"sau00900",13,"Up",0.856479201841518,0.897656086545438,1.50304204702029e-05,0.000131772088417811,"Terpenoid backbone biosynthesis"
