"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"sau00480",8,"Down",0.000109169940754803,0.0043971187102555,0.00016221589731648,0.000336542955669165,"Glutathione metabolism"
"sau00680",18,"Down",0.000121343443101071,0.0043971187102555,0.000293752309478674,0.00047789554825635,"Methane metabolism"
"sau04122",10,"Up",0.000176159884424243,0.0043971187102555,0.000140535273861851,0.000325922230871101,"Sulfur relay system"
"sau03010",57,"Up",0.000201723676113597,0.0043971187102555,0.000165941966724484,0.000336542955669165,"Ribosome"
"sau00010",37,"Down",0.000237118671641697,0.0043971187102555,0.000179040791253401,0.000342376249940713,"Glycolysis / Gluconeogenesis"
"sau00920",8,"Down",0.000355287159783971,0.0043971187102555,6.12838016301388e-05,0.000202422253869246,"Sulfur metabolism"
"sau00330",10,"Down",0.000372260921774026,0.0043971187102555,0.000200536928674579,0.000362800831564613,"Arginine and proline metabolism"
"sau00970",24,"Down",0.000429534790774193,0.0043971187102555,1.27708834502292e-05,0.000126547845097726,"Aminoacyl-tRNA biosynthesis"
"sau00030",19,"Down",0.000432684130181998,0.0043971187102555,0.000113911691052432,0.000275919429438114,"Pentose phosphate pathway"
"sau00460",3,"Down",0.000551480091547609,0.0043971187102555,0.000853968255624644,0.0010950887042716,"Cyanoamino acid metabolism"
"sau00240",27,"Up",0.000566304129942976,0.0043971187102555,0.000231877783179574,0.000394916849477712,"Pyrimidine metabolism"
"sau00630",22,"Down",0.00058976616974904,0.0043971187102555,0.000203035327756343,0.000362800831564613,"Glyoxylate and dicarboxylate metabolism"
"sau00790",21,"Up",0.000632125894779723,0.0043971187102555,0.000169815252860588,0.000336542955669165,"Folate biosynthesis"
"sau00230",45,"Up",0.000690356851046608,0.0043971187102555,5.1963406618666e-06,0.000119253737557205,"Purine metabolism"
"sau00362",8,"Down",0.000702817330781261,0.0043971187102555,0.000499645434436195,0.000707290290305783,"Benzoate degradation"
"sau00740",10,"Down",0.000706530460599168,0.0043971187102555,0.000250795542878799,0.000420564833442909,"Riboflavin metabolism"
"sau00643",3,"Down",0.000725136029935791,0.0043971187102555,0.0029289834972212,0.00347020870866425,"Styrene degradation"
"sau00052",18,"Down",0.000726129695271551,0.0043971187102555,7.10987381428662e-06,0.000119253737557205,"Galactose metabolism"
"sau00543",3,"Down",0.000774322220687199,0.00444216431867919,0.00391244827977429,0.00453677513292976,"Exopolysaccharide biosynthesis"
"sau00310",9,"Down",0.000836634727569084,0.00454377339112168,0.000369510588100242,0.000560967671474323,"Lysine degradation"
"sau00620",40,"Down",0.000883397411081228,0.00454377339112168,2.20506792460594e-05,0.000143732407172405,"Pyruvate metabolism"
"sau00400",17,"Up",0.000942777382005183,0.00454377339112168,1.05365694032297e-05,0.000119253737557205,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"sau01200",79,"Down",0.000979106999435404,0.00454377339112168,4.71981243676774e-05,0.00017739984676127,"Carbon metabolism"
"sau03070",12,"Up",0.00100106186451096,0.00454377339112168,3.78707271888301e-05,0.000171996219315937,"Bacterial secretion system"
"sau00020",21,"Down",0.00106138293740288,0.00454377339112168,0.000449994005259664,0.000645386139122413,"Citrate cycle (TCA cycle)"
"sau00906",6,"Down",0.00110826214113218,0.00454377339112168,7.70937479736334e-05,0.000221137329713843,"Carotenoid biosynthesis"
"sau00785",18,"Down",0.00112552184917693,0.00454377339112168,0.000682391273976789,0.000896152395945422,"Lipoic acid metabolism"
"sau03060",15,"Up",0.00130380002434808,0.00507550723764073,4.5312990032064e-05,0.00017739984676127,"Protein export"
"sau00564",19,"Down",0.00137208697115597,0.00515715447779313,0.000395104536066294,0.000589950608646932,"Glycerophospholipid metabolism"
"sau00280",12,"Down",0.00156231301640424,0.00567640395960209,0.000926111809821906,0.0011471157644385,"Valine, leucine and isoleucine degradation"
"sau01120",132,"Down",0.00161880211636911,0.00569191711884623,2.53110991877094e-05,0.000144178730513108,"Microbial metabolism in diverse environments"
"sau00380",9,"Down",0.00170903179674921,0.00582138955767698,0.000536561114644419,0.000749809762772329,"Tryptophan metabolism"
"sau01220",5,"Down",0.00178939981685252,0.00591044181930074,0.000673422394996672,0.000895159037251674,"Degradation of aromatic compounds"
"sau05150",31,"Up",0.00185763073537698,0.0059553455928262,0.000176681759972624,0.000342376249940713,"Staphylococcus aureus infection"
"sau00999",2,"Up",0.00196802849281742,0.00612900302048855,0.107132280816092,0.112282871239943,"Biosynthesis of various plant secondary metabolites"
"sau00040",9,"Down",0.00214249166470533,0.00648698865146891,0.000328371792905591,0.000518732252561006,"Pentose and glucuronate interconversions"
"sau00622",3,"Down",0.0022569141297908,0.00664874703100532,0.0101333718164699,0.0113869848246929,"Xylene degradation"
"sau00640",23,"Down",0.0025739781069947,0.00738325299111638,4.38281298953135e-05,0.00017739984676127,"Propanoate metabolism"
"sau02020",66,"Up",0.00345200353117406,0.00964790730507623,1.64340261251241e-05,0.000127950631974181,"Two-component system"
"sau01250",21,"Down",0.00359907861268335,0.00980748921956212,0.000106412191779754,0.000275919429438114,"Biosynthesis of nucleotide sugars"
"sau00250",20,"Up",0.00369222273240801,0.00981590921542617,0.000190846435366615,0.00035865968025795,"Alanine, aspartate and glutamate metabolism"
"sau00071",10,"Down",0.00383378547127359,0.00994958610401957,5.34110037136887e-05,0.000187799980799744,"Fatty acid degradation"
"sau00520",28,"Down",0.00471182359084657,0.0118537436210678,0.000112326178721314,0.000275919429438114,"Amino sugar and nucleotide sugar metabolism"
"sau00130",9,"Down",0.00478499742501821,0.0118537436210678,0.000230288789951911,0.000394916849477712,"Ubiquinone and other terpenoid-quinone biosynthesis"
"sau00670",11,"Down",0.00558095022491484,0.0133200597221835,0.00020175480022429,0.000362800831564613,"One carbon pool by folate"
"sau02060",24,"Up",0.00562130960752697,0.0133200597221835,0.00116254208677998,0.00142378749953953,"Phosphotransferase system (PTS)"
"sau01210",30,"Down",0.00597985135688835,0.0138681659127836,0.000723475586704245,0.000938795701794794,"2-Oxocarboxylic acid metabolism"
"sau01110",264,"Down",0.0068733518272459,0.0156082364410376,1.09407098676335e-05,0.000119253737557205,"Biosynthesis of secondary metabolites"
"sau01230",99,"Down",0.00709379991617918,0.0157800855278272,8.0190416721943e-06,0.000119253737557205,"Biosynthesis of amino acids"
"sau02040",2,"Down",0.00762908022651092,0.0162042466377904,0.0724111434484747,0.0766292683095508,"Flagellar assembly"
"sau00430",6,"Down",0.0076517665945029,0.0162042466377904,0.00300285529069366,0.00351947555575924,"Taurine and hypotaurine metabolism"
