# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "tRNA" "-g" "locus_tag" "-a" "../data/reference_sequences/SA101588_prokka.gff" "-o" "../data/rna_align/counttable_prokka_tRNAs.txt" "../data/rna_align/LND_0_rep1.fq.gz.bam" "../data/rna_align/LND_0_rep2.fq.gz.bam" "../data/rna_align/LND_0_rep3.fq.gz.bam" "../data/rna_align/LND_16_rep1.fq.gz.bam" "../data/rna_align/LND_16_rep2.fq.gz.bam" "../data/rna_align/LND_16_rep3.fq.gz.bam" "../data/rna_align/LND_8_rep1.fq.gz.bam" "../data/rna_align/LND_8_rep2.fq.gz.bam" "../data/rna_align/LND_8_rep3.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/LND_0_rep1.fq.gz.bam	../data/rna_align/LND_0_rep2.fq.gz.bam	../data/rna_align/LND_0_rep3.fq.gz.bam	../data/rna_align/LND_16_rep1.fq.gz.bam	../data/rna_align/LND_16_rep2.fq.gz.bam	../data/rna_align/LND_16_rep3.fq.gz.bam	../data/rna_align/LND_8_rep1.fq.gz.bam	../data/rna_align/LND_8_rep2.fq.gz.bam	../data/rna_align/LND_8_rep3.fq.gz.bam
SA101588_00217	101588_1	212735	212807	-	73	30	49	52	36	38	29	57	31	29
SA101588_00402	101588_1	397975	398065	-	91	20	15	27	7	15	1	9	13	8
SA101588_00403	101588_1	398067	398141	-	75	8	21	13	19	17	18	52	20	19
SA101588_00555	101588_1	544967	545042	-	76	30	11	14	18	20	8	9	19	19
SA101588_01278	101588_3	9102	9194	-	93	24	34	25	40	42	39	35	46	25
SA101588_01815	101588_4	197235	197309	+	75	4	6	3	7	6	16	18	17	8
SA101588_01816	101588_4	197317	197389	+	73	0	1	0	0	0	0	0	0	0
SA101588_02421	101588_8	99228	99310	+	83	69	85	52	67	53	65	80	84	47
SA101588_02422	101588_8	99332	99405	+	74	18	50	26	35	55	69	65	57	31
SA101588_02554	101588_11	37911	37986	+	76	172	163	119	145	186	42	179	145	130
SA101588_02555	101588_11	38003	38078	+	76	4	5	1	3	7	3	11	5	2
SA101588_02556	101588_11	38084	38158	+	75	27	52	27	73	68	65	85	69	39
SA101588_02557	101588_11	38191	38265	+	75	19	34	30	28	35	30	42	55	18
SA101588_02558	101588_11	38273	38361	+	89	25	11	6	7	19	12	15	26	6
SA101588_02559	101588_11	38367	38443	+	77	40	43	21	21	23	24	52	43	19
SA101588_02560	101588_11	38464	38537	+	74	12	24	9	14	24	23	9	23	16
SA101588_02561	101588_11	38561	38636	+	76	107	218	188	211	200	191	241	158	193
SA101588_02565	101588_12	3007	3095	-	89	8	11	13	5	11	1	4	8	2
SA101588_02566	101588_12	3149	3222	-	74	3	4	2	8	6	5	2	8	2
SA101588_02567	101588_12	3223	3297	-	75	0	0	0	0	1	1	0	0	0
SA101588_02568	101588_12	3312	3385	-	74	10	24	7	10	5	22	15	17	13
SA101588_02569	101588_12	3401	3476	-	76	82	70	38	22	31	88	31	59	41
SA101588_02570	101588_12	3490	3562	-	73	18	25	31	17	18	26	24	31	9
SA101588_02571	101588_12	3579	3654	-	76	251	352	258	282	270	426	327	337	272
SA101588_02572	101588_12	3676	3749	-	74	23	24	30	11	23	24	25	31	12
SA101588_02605	101588_12	36009	36092	-	84	72	57	44	81	86	26	64	50	53
SA101588_02606	101588_12	36131	36205	-	75	86	119	67	84	121	37	107	93	59
SA101588_02607	101588_12	36219	36293	-	75	18	18	19	19	35	13	35	32	27
SA101588_02608	101588_12	36309	36383	-	75	18	33	20	47	44	35	44	37	27
SA101588_02609	101588_12	36391	36464	-	74	7	5	4	8	11	6	7	6	11
SA101588_02610	101588_12	36470	36541	-	72	1	0	0	1	1	4	0	1	2
SA101588_02611	101588_12	36552	36625	-	74	1	0	1	2	1	0	0	3	2
SA101588_02612	101588_12	36628	36701	-	74	25	17	14	20	13	25	28	18	5
SA101588_02613	101588_12	36716	36798	-	83	13	25	14	14	21	54	31	32	15
SA101588_02614	101588_12	36803	36878	-	76	0	0	0	0	1	1	1	0	0
SA101588_02615	101588_12	36885	36959	-	75	10	6	4	6	9	32	8	12	5
SA101588_02616	101588_12	36977	37052	-	76	52	65	52	66	70	163	77	98	64
SA101588_02617	101588_12	37061	37136	-	76	2	5	13	11	13	22	14	21	15
SA101588_02618	101588_12	37150	37242	-	93	195	275	203	425	411	638	504	485	360
SA101588_02619	101588_12	37281	37356	-	76	479	1060	926	1866	2000	2991	2217	1977	1576
SA101588_02620	101588_12	37366	37457	-	92	21	22	20	48	54	108	61	54	44
SA101588_02621	101588_12	37466	37539	-	74	33	77	29	76	92	146	80	100	56
SA101588_02622	101588_12	37567	37641	-	75	86	98	61	85	102	231	137	147	74
SA101588_02623	101588_12	37663	37738	-	76	237	266	209	324	356	484	419	323	290
SA101588_02624	101588_12	37756	37829	-	74	15	32	21	41	40	78	51	56	31
SA101588_02625	101588_12	37838	37913	-	76	7	9	7	8	7	24	12	23	4
SA101588_02626	101588_12	37931	38019	-	89	76	89	70	68	100	148	139	119	53
SA101588_02627	101588_12	38030	38104	-	75	0	1	0	0	1	0	1	1	0
SA101588_02628	101588_12	38107	38190	-	84	57	61	53	50	71	87	74	57	64
SA101588_02629	101588_12	38193	38268	-	76	0	1	0	2	0	1	0	0	0
SA101588_02630	101588_12	38274	38349	-	76	6	20	13	16	34	44	18	35	9
SA101588_02631	101588_12	38366	38441	-	76	19	49	23	10	15	8	20	7	18
SA101588_02711	101588_15	20824	20897	-	74	0	3	4	4	9	11	9	10	5
SA101588_02712	101588_15	20901	20975	-	75	0	1	1	1	0	0	2	0	0
SA101588_02713	101588_15	20985	21068	-	84	60	90	63	78	71	61	114	80	59
SA101588_02714	101588_15	21097	21172	-	76	243	498	397	445	534	339	577	444	418
SA101588_02788	101588_31	48	122	+	75	37	44	20	39	49	31	57	61	24
SA101588_02789	101588_31	123	196	+	74	34	56	40	44	61	96	100	81	64
