"query"	"Description"	"Preferred_name"	"GOs"	"EC"	"KEGG_ko"	"KEGG_Pathway"	"KEGG_Module"	"KEGG_Reaction"	"KEGG_rclass"	"BRITE"	"KEGG_TC"	"CAZy"	"BiGG_Reaction"	"PFAMs"
"CDS::101588_1:1794-2673(-)"	"Converts GTP to 7,8-dihydroneopterin triphosphate"	"folE2"	"-"	"3.5.4.16"	"ko:K09007"	"ko00790,ko01100,map00790,map01100"	"M00126"	"R00428,R04639,R05046,R05048"	"RC00263,RC00294,RC00323,RC00945,RC01188"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"-"	"GCHY-1"
"CDS::101588_1:3364-3727(-)"	"Protein of unknown function (DUF1806)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"DUF1806"
"CDS::101588_1:13259-14090(-)"	"Phosphomethylpyrimidine kinase"	"pdxK"	"-"	"2.7.1.35"	"ko:K00868"	"ko00750,ko01100,map00750,map01100"	"-"	"R00174,R01909,R02493"	"RC00002,RC00017"	"ko00000,ko00001,ko01000"	"-"	"-"	"iSB619.SA_RS03115"	"Phos_pyr_kin"
"CDS::101588_1:14930-15311(+)"	"Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine"	"ung"	"GO:0003674,GO:0003824,GO:0004844,GO:0006139,GO:0006259,GO:0006281,GO:0006284,GO:0006285,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009987,GO:0016787,GO:0016798,GO:0016799,GO:0019104,GO:0033554,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0097506,GO:0097510,GO:0140097,GO:1901360"	"3.2.2.27"	"ko:K03648"	"ko03410,ko05340,map03410,map05340"	"-"	"-"	"-"	"ko00000,ko00001,ko01000,ko03400"	"-"	"-"	"-"	"UDG"
"CDS::101588_1:15443-15812(+)"	"Family of unknown function (DUF5327)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"DUF5327"
"CDS::101588_1:18023-18788(-)"	"Putative threonine/serine exporter"	"yjjP"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ThrE"
"CDS::101588_1:19336-20089(-)"	"May function as heme-dependent peroxidase"	"ywfI"	"-"	"-"	"ko:K00435"	"ko00860,ko01100,ko01110,map00860,map01100,map01110"	"-"	"R11522"	"RC00884"	"ko00000,ko00001,ko01000"	"-"	"-"	"-"	"Chlor_dismutase"
"CDS::101588_1:23593-24577(+)"	"Mevalonate kinase"	"mvk"	"-"	"2.7.1.36"	"ko:K00869"	"ko00900,ko01100,ko01110,ko01130,ko04146,map00900,map01100,map01110,map01130,map04146"	"M00095"	"R02245"	"RC00002,RC00017"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"-"	"GHMP_kinases_C,GHMP_kinases_N"
"CDS::101588_1:25842-26184(+)"	"phosphomevalonate kinase"	"mvaK2"	"-"	"2.7.4.2"	"ko:K00938"	"ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130"	"M00095"	"R03245"	"RC00002"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"-"	"GHMP_kinases_C,GHMP_kinases_N"
"CDS::101588_1:33020-33539(+)"	"Protein of unknown function (DUF443)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"DUF443"
"CDS::101588_1:39390-39867(+)"	"NADPH-dependent FMN reductase"	"ywqN"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"FMN_red,Flavodoxin_2"
"CDS::101588_1:43535-43952(+)"	"alcohol dehydrogenase (NAD) activity"	"adhP"	"-"	"1.1.1.1"	"ko:K00001,ko:K13953"	"ko00010,ko00071,ko00350,ko00625,ko00626,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00625,map00626,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01220"	"-"	"R00623,R00754,R02124,R04805,R04880,R05233,R05234,R06917,R06927,R07105,R08281,R08306,R08310"	"RC00050,RC00087,RC00088,RC00099,RC00116,RC00649,RC01734,RC02273"	"ko00000,ko00001,ko01000"	"-"	"-"	"-"	"ADH_N,ADH_zinc_N"
"CDS::101588_1:46094-46730(+)"	"DALR anticodon binding domain"	"argS"	"GO:0003674,GO:0003824,GO:0004812,GO:0004814,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006420,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576"	"6.1.1.19"	"ko:K01887"	"ko00970,map00970"	"M00359,M00360"	"R03646"	"RC00055,RC00523"	"ko00000,ko00001,ko00002,ko01000,ko01007,ko03016,ko03029"	"-"	"-"	"-"	"Arg_tRNA_synt_N,DALR_1,tRNA-synt_1d"
"CDS::101588_1:47059-47947(+)"	"endonuclease III"	"nth2"	"-"	"-"	"ko:K07457"	"-"	"-"	"-"	"-"	"ko00000"	"-"	"-"	"-"	"HhH-GPD"
"CDS::101588_1:49102-49822(+)"	"Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily"	"-"	"-"	"-"	"ko:K02015"	"ko02010,map02010"	"M00240"	"-"	"-"	"ko00000,ko00001,ko00002,ko02000"	"3.A.1.14"	"-"	"-"	"FecCD"
"CDS::101588_1:50741-51248(+)"	"Alpha beta"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Abhydrolase_1"
"CDS::101588_1:52294-53083(+)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"CDS::101588_1:55778-56003(-)"	"Putative inner membrane exporter, YdcZ"	"-"	"-"	"-"	"ko:K09936"	"ko02024,map02024"	"-"	"-"	"-"	"ko00000,ko00001,ko02000"	"2.A.7.21"	"-"	"-"	"DMT_YdcZ"
"CDS::101588_1:67190-68027(-)"	"Belongs to the bacterial solute-binding protein 9 family"	"psaA"	"-"	"-"	"ko:K11704,ko:K19971,ko:K19975,ko:K19976"	"ko02010,map02010"	"M00318,M00791,M00792"	"-"	"-"	"ko00000,ko00001,ko00002,ko02000"	"3.A.1.15.14,3.A.1.15.15,3.A.1.15.2,3.A.1.15.6"	"-"	"-"	"ZnuA"
"CDS::101588_1:80014-81244(+)"	"ABC transporter"	"abcA"	"-"	"3.6.3.44"	"ko:K02021,ko:K18104"	"ko01501,ko02010,map01501,map02010"	"M00700"	"-"	"-"	"ko00000,ko00001,ko00002,ko01000,ko01504,ko02000"	"3.A.1.106,3.A.1.110,3.A.1.112,3.A.1.113,3.A.1.117,3.A.1.123,3.A.1.21"	"-"	"-"	"ABC_membrane,ABC_tran"
"CDS::101588_1:96376-98266(+)"	"Member of the two-component regulatory system GraR GraS involved in resistance against cationic antimicrobial peptides (CAMPs). GraS probably functions as a sensor protein kinase which is autophosphorylated at a histidine residue and transfers its phosphate group to GraR"	"graS"	"-"	"2.7.13.3"	"ko:K11629,ko:K19077"	"ko01503,ko02020,map01503,map02020"	"M00469,M00725,M00726,M00730,M00733,M00738"	"-"	"-"	"ko00000,ko00001,ko00002,ko01000,ko01001,ko01504,ko02022"	"-"	"-"	"-"	"HATPase_c"
"CDS::101588_1:107163-107637(+)"	"helix_turn_helix, arabinose operon control protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"HTH_AraC"
"CDS::101588_1:121786-122713(+)"	"ABC transporter, ATP-binding protein"	"cydC"	"-"	"-"	"ko:K16012"	"ko02010,map02010"	"-"	"-"	"-"	"ko00000,ko00001,ko02000"	"3.A.1.129"	"-"	"-"	"ABC_membrane,ABC_tran"
"CDS::101588_1:135994-137176(+)"	"PTS system, fructose-specific"	"fruA"	"-"	"2.7.1.202"	"ko:K02768,ko:K02769,ko:K02770"	"ko00051,ko01100,ko01120,ko02060,map00051,map01100,map01120,map02060"	"M00273"	"R03232"	"RC00017,RC03206"	"ko00000,ko00001,ko00002,ko01000,ko02000"	"4.A.2.1"	"-"	"-"	"PTS_EIIA_2,PTS_EIIC,PTS_IIB"
"CDS::101588_1:137396-138746(+)"	"PTS system, fructose-specific"	"fruA"	"-"	"2.7.1.202"	"ko:K02768,ko:K02769,ko:K02770"	"ko00051,ko01100,ko01120,ko02060,map00051,map01100,map01120,map02060"	"M00273"	"R03232"	"RC00017,RC03206"	"ko00000,ko00001,ko00002,ko01000,ko02000"	"4.A.2.1"	"-"	"-"	"PTS_EIIA_2,PTS_EIIC,PTS_IIB"
"CDS::101588_1:146064-146733(-)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"CDS::101588_1:149485-149692(+)"	"component II"	"pabA"	"-"	"2.6.1.85,4.1.3.27"	"ko:K01658,ko:K01664,ko:K13950"	"ko00400,ko00405,ko00790,ko01100,ko01110,ko01130,ko01230,ko02024,ko02025,map00400,map00405,map00790,map01100,map01110,map01130,map01230,map02024,map02025"	"M00023"	"R00985,R00986,R01716"	"RC00010,RC01418,RC02148,RC02414"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"iSB619.SA_RS03805"	"GATase"
"CDS::101588_1:149778-150489(+)"	"component II"	"pabA"	"-"	"2.6.1.85,4.1.3.27"	"ko:K01658,ko:K01664,ko:K13950"	"ko00400,ko00405,ko00790,ko01100,ko01110,ko01130,ko01230,ko02024,ko02025,map00400,map00405,map00790,map01100,map01110,map01130,map01230,map02024,map02025"	"M00023"	"R00985,R00986,R01716"	"RC00010,RC01418,RC02148,RC02414"	"ko00000,ko00001,ko00002,ko01000"	"-"	"-"	"iSB619.SA_RS03805"	"GATase"
"CDS::101588_1:156056-157838(+)"	"Catalyzes the polymerization of lipoteichoic acid (LTA) polyglycerol phosphate, a reaction that presumably uses phosphatidylglycerol (PG) as substrate"	"ltaS"	"GO:0005575,GO:0005576"	"2.7.8.20"	"ko:K19005"	"ko00561,ko01100,map00561,map01100"	"-"	"R05081,R10849"	"RC00017"	"ko00000,ko00001,ko01000"	"-"	"-"	"-"	"Sulfatase"
"CDS::101588_1:159028-160543(+)"	"DNA helicase"	"recQ"	"-"	"3.6.4.12"	"ko:K03654"	"ko03018,map03018"	"-"	"-"	"-"	"ko00000,ko00001,ko01000,ko03400"	"-"	"-"	"-"	"DEAD,HRDC,HTH_40,Helicase_C,RQC,RecQ_Zn_bind"
"CDS::101588_1:166310-166811(-)"	"May catalyze the ATP-dependent phosphorylation of lipids other than diacylglycerol (DAG)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"DAGK_cat"
"CDS::101588_1:166830-167697(-)"	"transporter"	"dtpT"	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	"-"	"ko:K03305"	"-"	"-"	"-"	"-"	"ko00000"	"2.A.17"	"-"	"-"	"PTR2"
"CDS::101588_1:174336-175098(+)"	"reductase, beta subunit"	"nrdF"	"-"	"1.17.4.1"	"ko:K00526"	"ko00230,ko00240,ko01100,map00230,map00240,map01100"	"M00053"	"R02017,R02018,R02019,R02024"	"RC00613"	"ko00000,ko00001,ko00002,ko01000,ko03400"	"-"	"-"	"iSB619.SA_RS03915,iYO844.BSU17390"	"Ribonuc_red_sm"
"CDS::101588_1:189008-190091(+)"	"transferase"	"tagO"	"-"	"2.7.8.33,2.7.8.35"	"ko:K02851"	"-"	"-"	"R08856"	"RC00002"	"ko00000,ko01000,ko01003,ko01005"	"-"	"-"	"-"	"Glycos_transf_4"
"CDS::101588_1:198532-200518(+)"	"Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA"	"prfB"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	"-"	"ko:K02836"	"-"	"-"	"-"	"-"	"ko00000,ko03012"	"-"	"-"	"-"	"PCRF,RF-1"
"CDS::101588_1:204919-205759(+)"	"The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate"	"uvrA"	"-"	"-"	"ko:K03701"	"ko03420,map03420"	"-"	"-"	"-"	"ko00000,ko00001,ko03400"	"-"	"-"	"-"	"ABC_tran"
"CDS::101588_1:220829-222020(+)"	"Domain of unknown function (DUF4887)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"DUF4887"
"CDS::101588_1:222905-224423(+)"	"COG2390 Transcriptional regulator, contains sigma factor-related N-terminal domain"	"cggR"	"-"	"-"	"ko:K05311"	"-"	"-"	"-"	"-"	"ko00000,ko03000"	"-"	"-"	"-"	"Sugar-bind"
