# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "CDS,sRNA,tRNA,RNA" "-g" "Name" "-a" "../data/reference_sequences/WG_with_sRNAs_Staphylococcus_aureus_101588.gff3" "-o" "../data/rna_align/counttable.txt" "../data/rna_align/LND_0_rep1.fq.gz.bam" "../data/rna_align/LND_0_rep2.fq.gz.bam" "../data/rna_align/LND_0_rep3.fq.gz.bam" "../data/rna_align/LND_16_rep1.fq.gz.bam" "../data/rna_align/LND_16_rep2.fq.gz.bam" "../data/rna_align/LND_16_rep3.fq.gz.bam" "../data/rna_align/LND_8_rep1.fq.gz.bam" "../data/rna_align/LND_8_rep2.fq.gz.bam" "../data/rna_align/LND_8_rep3.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/LND_0_rep1.fq.gz.bam	../data/rna_align/LND_0_rep2.fq.gz.bam	../data/rna_align/LND_0_rep3.fq.gz.bam	../data/rna_align/LND_16_rep1.fq.gz.bam	../data/rna_align/LND_16_rep2.fq.gz.bam	../data/rna_align/LND_16_rep3.fq.gz.bam	../data/rna_align/LND_8_rep1.fq.gz.bam	../data/rna_align/LND_8_rep2.fq.gz.bam	../data/rna_align/LND_8_rep3.fq.gz.bam
Poly(glycerol-phosphate) alpha-glucosyltransferase%0ACDS	101588_1;101588_1	23;406123	1513;406260	-;+	1629	1400	1420	1215	1190	986	979	1206	1066	968
GTP cyclohydrolase I type 2	101588_1	1795	2673	-	879	1918	2063	1906	1698	1442	896	1798	1510	1394
N-acetylglucosaminyl-L-malate N-acetyl hydrolase%0ACDS	101588_1	2686	3351	-	666	1599	1711	1643	1409	1099	810	1569	1196	1202
Uncharacterized protein YojF	101588_1	3365	3727	-	363	1442	1611	1396	895	919	576	1062	931	872
Glucosamine-6-phosphate deaminase	101588_1	4004	4762	+	759	1705	1765	1801	635	539	306	727	525	533
D-arabino-3-hexulose 6-phosphate%0Aformaldehyde-lyase	101588_1	4839	5471	+	633	8799	8921	9432	4531	3316	1351	4733	3314	3645
6-phospho-3-hexuloisomerase	101588_1	5473	6021	+	549	4410	4785	5092	3098	2472	1044	3568	2182	2677
Haloacid dehalogenase-like hydrolase	101588_1	6134	6781	+	648	289	312	350	109	76	104	128	133	112
L-Proline/Glycine betaine transporter ProP	101588_1	7284	8684	+	1401	541	667	518	1116	1169	971	1178	1096	923
Long-chain-fatty-acid--CoA ligase	101588_1;101588_3	9229;230213	10605;231718	+;+	2883	761	807	812	396	364	461	507	375	372
3-ketoacyl-CoA thiolase @ Acetyl-CoA%0Aacetyltransferase	101588_1;101588_3	10607;100469	11746;101650	+;-	2322	4188	4613	4036	2349	2294	1582	2873	2443	2203
