# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "CDS,sRNA" "-g" "locus_tag" "-a" "../data/reference_sequences/SA101588_prokka.gff" "-o" "../data/rna_align/counttable_prokka.txt" "../data/rna_align/LND_0_rep1.fq.gz.bam" "../data/rna_align/LND_0_rep2.fq.gz.bam" "../data/rna_align/LND_0_rep3.fq.gz.bam" "../data/rna_align/LND_16_rep1.fq.gz.bam" "../data/rna_align/LND_16_rep2.fq.gz.bam" "../data/rna_align/LND_16_rep3.fq.gz.bam" "../data/rna_align/LND_8_rep1.fq.gz.bam" "../data/rna_align/LND_8_rep2.fq.gz.bam" "../data/rna_align/LND_8_rep3.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/LND_0_rep1.fq.gz.bam	../data/rna_align/LND_0_rep2.fq.gz.bam	../data/rna_align/LND_0_rep3.fq.gz.bam	../data/rna_align/LND_16_rep1.fq.gz.bam	../data/rna_align/LND_16_rep2.fq.gz.bam	../data/rna_align/LND_16_rep3.fq.gz.bam	../data/rna_align/LND_8_rep1.fq.gz.bam	../data/rna_align/LND_8_rep2.fq.gz.bam	../data/rna_align/LND_8_rep3.fq.gz.bam
SA101588_00001	101588_1	23	1513	-	1491	1395	1416	1210	1179	983	973	1193	1063	964
SA101588_00002	101588_1	1795	2673	-	879	1918	2063	1906	1698	1442	896	1798	1510	1394
SA101588_00003	101588_1	2686	3351	-	666	1599	1711	1643	1409	1099	810	1569	1196	1202
SA101588_00004	101588_1	3365	3727	-	363	1442	1611	1396	895	919	576	1062	931	872
SA101588_00005	101588_1	4004	4762	+	759	1705	1765	1801	635	539	306	727	525	533
SA101588_00006	101588_1	4839	5471	+	633	8799	8921	9432	4531	3316	1351	4733	3314	3645
SA101588_00007	101588_1	5473	6021	+	549	4410	4785	5092	3098	2472	1044	3568	2182	2677
SA101588_00008	101588_1	6134	6781	+	648	289	312	350	109	76	104	128	133	112
SA101588_00009	101588_1	7284	8684	+	1401	541	667	518	1116	1169	971	1178	1096	923
SA101588_00010	101588_1	9229	10605	+	1377	96	114	103	96	82	55	80	78	89
SA101588_00011	101588_1	10607	11746	+	1140	294	267	263	227	232	165	257	211	179
SA101588_00012	101588_1	11721	12086	+	366	43	57	69	59	48	30	62	50	52
SA101588_00013	101588_1	12122	12358	+	237	74	100	103	74	93	58	95	81	72
SA101588_00014	101588_1	12559	12726	-	168	463	546	628	383	318	397	571	362	349
SA101588_00015	101588_1	13260	14090	-	831	2606	2877	2701	1364	1117	502	1552	1152	1269
SA101588_00016	101588_1	14274	14930	+	657	951	1103	986	1050	905	726	1196	921	952
SA101588_00017	101588_1	14931	15311	+	381	648	699	659	735	664	543	839	663	626
SA101588_00018	101588_1	15444	15812	+	369	541	632	566	908	738	489	886	762	675
SA101588_00019	101588_1	15933	17417	+	1485	10790	10364	9541	16436	14640	13925	17577	14254	14830
SA101588_00020	101588_1	17559	18011	-	453	398	434	418	398	321	498	405	385	376
SA101588_00021	101588_1	18024	18788	-	765	648	747	675	514	502	567	637	502	469
SA101588_00022	101588_1	19029	19167	+	139	5114	8209	7561	5627	5623	3536	6673	5349	5196
SA101588_00023	101588_1	19337	20089	-	753	3708	3978	3592	1297	1138	823	1579	1312	1212
SA101588_00024	101588_1	20257	21243	+	987	6709	7313	7084	4210	3805	2273	5170	3995	3832
SA101588_00025	101588_1	21246	22082	+	837	4234	5600	5054	4527	4068	2252	5099	3909	3925
SA101588_00026	101588_1	22669	23589	+	921	1070	1150	1061	961	887	771	1044	878	812
SA101588_00027	101588_1	23594	24577	+	984	1448	1591	1493	2027	1845	1923	2343	1723	1922
SA101588_00028	101588_1	24590	25666	+	1077	1747	1981	1691	2416	2359	2111	2909	2210	2033
SA101588_00029	101588_1	25843	26184	+	342	104	157	178	650	629	577	674	494	628
SA101588_00030	101588_1	26236	27558	-	1323	382	323	325	712	676	624	659	624	523
SA101588_00031	101588_1	27545	27985	-	441	98	86	97	212	137	144	135	130	122
SA101588_00032	101588_1	28610	30016	+	1407	1878	1919	1993	767	678	465	932	638	599
SA101588_00033	101588_1	30020	30637	+	618	602	455	466	210	187	104	226	200	150
